CaseLabel;SystemName;SystemSynonyms;PrimaryDomain;AllDomains;PrimaryActors;SecondaryActors;AllActors;ActorSynonyms;UseCases;UseCaseSynonyms;Relationships;RelationshipTypes;HasInclude;HasExtend;HasGeneralization
UCD_0011;Real Time System Controller;Controller System | RTS Controller | Real Time Controller;Data Acquisition and Processing;Data Acquisition and Processing | Real-time Control Systems | Supervisory Control | System Maintenance Management | User Information Systems;Maintenance Crew | Supervisor | System User;Actuator | Sensor;Actuator | Maintenance Crew | Sensor | Supervisor | System User;Actuator: Effector || Maintenance Crew: Crew Member | Maintenance Personnel || Sensor: Detector || Supervisor: Manager | Overseer || System User: Operator | User;Acquire Input | Apply Maintenance Procedure | Apply Scheduled Maintenance | Apply Upon Request Maintenance | Inform User | Perform Computation | Run Setup Proedure | Run Shutdown Procdure | Store Result;Acquire Input: Get Input | Receive Input || Apply Maintenance Procedure: Execute Procedure || Apply Scheduled Maintenance: Perform Scheduled Maintenance || Apply Upon Request Maintenance: Perform Maintenance | Request Maintenance || Inform User: Notify User || Perform Computation: Compute Data | Process Data || Run Setup Proedure: Execute Setup | Perform Setup || Run Shutdown Procdure: Execute Shutdown | Perform Shutdown || Store Result: Save Result;association: Maintenance Crew(actor) -> Apply Maintenance Procedure(usecase) | association: Perform Computation(usecase) -> Actuator(actor) | association: Run Setup Proedure(usecase) -> Supervisor(actor) | association: Run Shutdown Procdure(usecase) -> Supervisor(actor) | association: Sensor(actor) -> Acquire Input(usecase) | association: System User(actor) -> Inform User(usecase) | extend: Store Result(usecase) -> Perform Computation(usecase) [When Storing is Required] | generalization: Apply Scheduled Maintenance(usecase) -> Apply Maintenance Procedure(usecase) | generalization: Apply Upon Request Maintenance(usecase) -> Apply Maintenance Procedure(usecase) | include: Perform Computation(usecase) -> Acquire Input(usecase);association | extend | generalization | include;Yes;Yes;Yes
UCD_0012;Aircraft Design Review System;Aircraft Review System | Design Review | Review System;Aerospace Engineering;Aerospace Engineering | Configuration Management | Design Review | Project Management | Systems Engineering;Design Engineer | Project Manager | Systems Engineer;;Design Engineer | Project Manager | Systems Engineer;Design Engineer: Design Analyst | Designer || Project Manager: Program Manager | Project Lead || Systems Engineer: System Engineer | Systems Analyst;Approve Modification | Generate Review Report | Register Design Component | Review Design | Submit Design;Approve Modification: Accept Change | Authorize Change || Generate Review Report: Create Report | Produce Report || Register Design Component: Log Component | Record Component || Review Design: Examine Design | Inspect Design || Submit Design: Present Design | Provide Design;association: Design Engineer(actor) -> Register Design Component(usecase) | association: Design Engineer(actor) -> Submit Design(usecase) | association: Project Manager(actor) -> Approve Modification(usecase) | association: Systems Engineer(actor) -> Review Design(usecase) | extend: Generate Review Report(usecase) -> Submit Design(usecase) [When Change is Required] | include: Register Design Component(usecase) -> Submit Design(usecase);association | extend | include;Yes;Yes;No
UCD_0013;Inverted Pendulum System;Inverted Pendulum | Pendulum System;Control Systems Engineering;Control Systems Engineering | Mechanical Engineering | Robotics | Signal Processing | System Dynamics;User;Disturbance;Disturbance | User;Disturbance: Impact | Perturbation || User: Controller | Operator;Disturb System | Set Amplifier Gain | Set Controller Gain | Start Controller | Stop Controller;Disturb System: Induce Disturbance || Set Amplifier Gain: Adjust Amplifier || Set Controller Gain: Adjust Gain || Start Controller: Initiate Controller || Stop Controller: Halt Controller;association: Disturbance(actor) -> Disturb System(usecase) | association: User(actor) -> Set Amplifier Gain(usecase) | association: User(actor) -> Set Controller Gain(usecase) | association: User(actor) -> Start Controller(usecase) | association: User(actor) -> Stop Controller(usecase);association;No;No;No
UCD_0014;Security System;Protection System | Security Infrastructure;Access Control;Access Control | Intrusion Detection | Physical Security | Security System Management | Surveillance;Intruder | Operator;;Intruder | Operator;Intruder: Attacker | Threat Actor || Operator: Admin | Controller | User;Activate System | Deactivate System | Monitor | Trigger Sensor;Activate System: Enable System | Start System || Deactivate System: Disable System | Shut Down || Monitor: Check Status | Observe System || Trigger Sensor: Activate Sensor | Sense Event;association: Intruder(actor) -> Trigger Sensor(usecase) | association: Operator(actor) -> Activate System(usecase) | association: Operator(actor) -> Deactivate System(usecase) | association: Operator(actor) -> Monitor(usecase) | extend: Trigger Sensor(usecase) -> Monitor(usecase) [When There is a Breach];association | extend;No;Yes;No
UCD_0015;Library Management System;Library System | Management System;Book Lending;Book Lending | Inventory Management | Library Management | Transaction Processing | User Account Management;Librarian | User;;Librarian | User;Librarian: Library Staff | Staff Member || User: Borrower | Patron;Borrow Book | Purchase Book | Register User | Return Book | Update Loan;Borrow Book: Check Out Book | Take Book || Purchase Book: Acquire Book | Buy Book || Register User: Add User | Create User || Return Book: Give Back Book || Update Loan: Adjust Loan | Modify Loan;association: Librarian(actor) -> Register User(usecase) | association: User(actor) -> Borrow Book(usecase) | association: User(actor) -> Purchase Book(usecase) | association: User(actor) -> Register User(usecase) | include: Borrow Book(usecase) -> Return Book(usecase) | include: Register User(usecase) -> Update Loan(usecase);association | include;Yes;No;No
UCD_0016;Cellular Telephone;Cell Phone | Telephone System;Call Management;Call Management | Mobile Computing | Personal Productivity | Telecommunications | Wireless Communication;User;Cellular Network;Cellular Network | User;Cellular Network: Cell System | Network || User: Caller | Client | Subscriber;Cut Call | Monitor Signal Strength | Place Conference Call | Place Phone Call | Use Scheduler;Cut Call: End Call | Terminate Call || Monitor Signal Strength: Check Signal | Read Signal || Place Conference Call: Initiate Conference | Start Conference || Place Phone Call: Initiate Call | Start Call || Use Scheduler: Access Scheduler | Run Scheduler;association: Cellular Network(actor) -> Monitor Signal Strength(usecase) | association: Cellular Network(actor) -> Use Scheduler(usecase) | association: User(actor) -> Cut Call(usecase) | association: User(actor) -> Place Phone Call(usecase) | extend: Place Conference Call(usecase) -> Place Phone Call(usecase) [When in Need of Multiple Callers];association | extend;No;Yes;No
UCD_0017;Maintenance Management System;MMS | Maintenance System;Asset Management;Asset Management | Corrective Maintenance Management | Equipment Maintenance | Preventive Maintenance Scheduling | Reporting and Analytics;Customer | Maintenance Manager | Technician;;Customer | Maintenance Manager | Technician;Customer: Client | User || Maintenance Manager: Maintenance Lead | Manager || Technician: Field Engineer | Service Personnel;Generate Report | Perform Maintenance | Register New Equipment | Request Maintenance | Schedule Maintenance;Generate Report: Create Report | Produce Report || Perform Maintenance: Conduct Maintenance | Execute Maintenance || Register New Equipment: Add Equipment | Record Equipment || Request Maintenance: File Request | Submit Request || Schedule Maintenance: Arrange Maintenance | Plan Maintenance;association: Customer(actor) -> Register New Equipment(usecase) | association: Customer(actor) -> Request Maintenance(usecase) | association: Maintenance Manager(actor) -> Perform Maintenance(usecase) | association: Technician(actor) -> Schedule Maintenance(usecase) | extend: Generate Report(usecase) -> Request Maintenance(usecase) [When Change is Required] | include: Register New Equipment(usecase) -> Request Maintenance(usecase);association | extend | include;Yes;Yes;No
UCD_0018;Multi Plant DCS;DCS | Multi Plant System;Building Management Systems;Building Management Systems | Chiller Plant Operations | HVAC Control Systems | Industrial Automation | Refrigerant Management;Commercial User | Maintenance Operator | Residential User;Controller;Commercial User | Controller | Maintenance Operator | Residential User;Commercial User: Customer | User || Controller: Control System || Maintenance Operator: Maintainer | Operator || Residential User: Client | Resident | User;Alert Refrigerant Leakage | Control Chiller Sequencing | Monitor Chilled Water Temperature | Provide Cooling Service | Provide Maintenance;Alert Refrigerant Leakage: Detect Leakage | Report Leakage || Control Chiller Sequencing: Manage Sequencing | Sequence Chiller || Monitor Chilled Water Temperature: Check Temperature | Read Temperature || Provide Cooling Service: Deliver Service | Offer Cooling || Provide Maintenance: Do Maintenance | Perform Maintenance;association: Controller(actor) -> Control Chiller Sequencing(usecase) | association: Controller(actor) -> Monitor Chilled Water Temperature(usecase) | association: Controller(actor) -> Provide Cooling Service(usecase) | association: Maintenance Operator(actor) -> Provide Maintenance(usecase) | association: Residential User(actor) -> Alert Refrigerant Leakage(usecase) | extend: Provide Maintenance(usecase) -> Alert Refrigerant Leakage(usecase) [When Maintenance is Required] | generalization: Commercial User(actor) -> Residential User(actor) | generalization: Residential User(actor) -> Residential User(actor) | include: Monitor Chilled Water Temperature(usecase) -> Control Chiller Sequencing(usecase) | include: Provide Cooling Service(usecase) -> Monitor Chilled Water Temperature(usecase);association | extend | generalization | include;Yes;Yes;Yes
UCD_0019;Ticket Booking System;Booking System | Ticket System;Airline Ticketing;Airline Ticketing | Customer Service | Payment Processing | Tour Booking | Travel Agency Services;Airline Company | Customer | Tourist Company | Travel Agent;;Airline Company | Customer | Tourist Company | Travel Agent;Airline Company: Air Carrier | Airline Provider || Customer: Client | Passenger || Tourist Company: Tour Operator | Tourism Provider || Travel Agent: Agent | Travel Provider;Book Airline Ticket | Book Tour | Deliver Airlineticket | Make Payment | Pay Agent Fee;Book Airline Ticket: Reserve Ticket | Schedule Flight || Book Tour: Reserve Tour | Schedule Tour || Deliver Airlineticket: Issue Ticket | Provide Ticket || Make Payment: Process Payment | Submit Payment || Pay Agent Fee: Remit Fee | Settle Fee;association: Airline Company(actor) -> Book Airline Ticket(usecase) | association: Book Tour(usecase) -> Tourist Company(actor) | association: Customer(actor) -> Book Airline Ticket(usecase) | association: Customer(actor) -> Make Payment(usecase) | association: Customer(actor) -> Pay Agent Fee(usecase) | association: Tourist Company(actor) -> Deliver Airlineticket(usecase) | association: Travel Agent(actor) -> Book Airline Ticket(usecase) | association: Travel Agent(actor) -> Deliver Airlineticket(usecase);association;No;No;No
UCD_0020;Bike Management System;Bike System | Management System;Bike Rental Management;Bike Rental Management | Customer Relationship Management | Inventory Management | Point of Sale | System Administration;Administrator | Supervisor;;Administrator | Supervisor;Administrator: Admin | System Admin || Supervisor: Bike Supervisor | Supervisor Role;Find Bike | Handle Bike Return | Handle Enquiry | Issue Bike | Maintain Bike List | Maintain Customer List | Print Receipt;Find Bike: Locate Bike | Search Bike || Handle Bike Return: Accept Return | Process Return || Handle Enquiry: Answer Enquiry | Process Enquiry || Issue Bike: Provide Bike | Release Bike || Maintain Bike List: Manage Bike | Update Bike || Maintain Customer List: Manage Customer | Update Customer || Print Receipt: Generate Receipt;association: Administrator(actor) -> Maintain Bike List(usecase) | association: Supervisor(actor) -> Handle Bike Return(usecase) | association: Supervisor(actor) -> Issue Bike(usecase) | include: Issue Bike(usecase) -> Handle Enquiry(usecase) | include: Issue Bike(usecase) -> Print Receipt(usecase) | include: Maintain Bike List(usecase) -> Maintain Customer List(usecase) | include: Maintain Customer List(usecase) -> Find Bike(usecase);association | include;Yes;No;No
UCD_0021;Restaurant;Dining Facility | Food Service;Culinary Operations;Culinary Operations | Food Service | Order Processing | Point of Sale (POS) | Restaurant Management;Cashier | Chef | Client | Waiter;;Cashier | Chef | Client | Waiter;Cashier: Payment Processor | Teller || Chef: Cook | Kitchen Staff || Client: Customer | Diner | Patron || Waiter: Food Server | Server;Cook Food | Order Food | Pay Bill | Serve Food;Cook Food: Create Dish | Prepare Meal || Order Food: Place Order | Request Meal || Pay Bill: Process Payment | Settle Account || Serve Food: Deliver Food | Present Meal;association: Cashier(actor) -> Pay Bill(usecase) | association: Chef(actor) -> Cook Food(usecase) | association: Client(actor) -> Order Food(usecase) | association: Client(actor) -> Pay Bill(usecase) | association: Waiter(actor) -> Order Food(usecase) | association: Waiter(actor) -> Serve Food(usecase) | include: Cook Food(usecase) -> Serve Food(usecase) | include: Order Food(usecase) -> Cook Food(usecase) | include: Serve Food(usecase) -> Pay Bill(usecase);association | include;Yes;No;No
UCD_0022;School Management System;Management System | School System;Academic Reporting;Academic Reporting | Attendance Tracking | Education Management | Examination Management | Student Information Systems;Administrator | Student | Teacher;;Administrator | Student | Teacher;Administrator: School Admin | System Admin || Student: Learner | Pupil || Teacher: Educator | Instructor;Add Information | Complete Enrolment | Declare Result | Edit Information | Evaluate Exam Paper | Fill Admission Form | Mark Attendance | Prepare Exam Paper | Prepare Report Card | Write Exam;Add Information: Input Data | Record Data || Complete Enrolment: Finalize Enrolment | Process Enrolment || Declare Result: Publish Result | Report Result || Edit Information: Modify Data | Update Data || Evaluate Exam Paper: Assess Paper | Grade Paper || Fill Admission Form: Complete Form | Submit Form || Mark Attendance: Record Attendance | Track Attendance || Prepare Exam Paper: Create Exam | Design Exam || Prepare Report Card: Create Report | Generate Report || Write Exam: Compose Exam | Draft Exam;association: Administrator(actor) -> Add Information(usecase) | association: Administrator(actor) -> Prepare Report Card(usecase) | association: Student(actor) -> Fill Admission Form(usecase) | association: Teacher(actor) -> Mark Attendance(usecase) | association: Teacher(actor) -> Prepare Exam Paper(usecase) | extend: Edit Information(usecase) -> Add Information(usecase) [When  Information needs to be edited] | include: Complete Enrolment(usecase) -> Write Exam(usecase) | include: Evaluate Exam Paper(usecase) -> Declare Result(usecase) | include: Fill Admission Form(usecase) -> Complete Enrolment(usecase) | include: Prepare Exam Paper(usecase) -> Evaluate Exam Paper(usecase);association | extend | include;Yes;Yes;No
UCD_0023;Online Learning System;Learning System | Online Platform;Content Delivery;Content Delivery | Course Catalog | E-Learning | User Account Management | User Support;Service Provider | User;;Service Provider | User;Service Provider: Provider | System Admin || User: Learner | Student;Access Account | Access Quiz | Access Study Material | Change Password | Edit Profile | Register User | Update Account | Verify Account | View Contact Detail | View Course List | View Faq;Access Account: Open Account | View Account || Access Quiz: View Quiz || Access Study Material: Obtain Material | View Material || Change Password: Reset Password || Edit Profile: Modify Profile | Revise Profile || Register User: Create User || Update Account: Modify Account | Revise Account || Verify Account: Confirm Account || View Contact Detail: See Contact || View Course List: See Cours || View Faq: See Faq;association: Service Provider(actor) -> Register User(usecase) | association: Service Provider(actor) -> Verify Account(usecase) | association: User(actor) -> Access Account(usecase) | association: User(actor) -> Access Study Material(usecase) | association: User(actor) -> Edit Profile(usecase) | association: User(actor) -> View Contact Detail(usecase) | association: User(actor) -> View Course List(usecase) | association: User(actor) -> View Faq(usecase) | extend: Access Quiz(usecase) -> Access Study Material(usecase) [When Quiz Module is Required] | extend: Change Password(usecase) -> Edit Profile(usecase) [When password needs to be changed] | include: Edit Profile(usecase) -> Update Account(usecase);association | extend | include;Yes;Yes;No
